,Date,Title,Artist,Image,PeakPos,LastPos,Weeks,Rank,IsNew
135,2016-01-19,Lean On,Major Lazer & DJ Snake Featuring MO,,2,27,33,36,False
136,2016-01-19,679,Fetty Wap Featuring Remy Boyz,,10,31,20,37,False
137,2016-01-19,Backroad Song,Granger Smith,,38,40,6,38,False
138,2016-01-19,Adventure Of A Lifetime,Coldplay,,39,42,4,39,False
139,2016-01-19,No Role Modelz,J. Cole,,32,39,8,40,False
140,2016-01-19,Don't,Bryson Tiller,,40,45,5,41,False
141,2016-01-19,Dibs,Kelsea Ballerini,,41,41,8,42,False
142,2016-01-19,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,,43,0,1,43,True
143,2016-01-19,Stand By You,Rachel Platten,,44,46,4,44,False
144,2016-01-19,Break On Me.,Keith Urban,,45,0,1,45,True
145,2016-01-19,Down In The DM,Yo Gotti Featuring Nicki Minaj,,46,50,2,46,False
146,2016-01-19,Again,Fetty Wap,,46,47,4,47,False
147,2016-01-19,Country Nation,Brad Paisley,,48,49,4,48,False
148,2016-01-19,We Went,Randy Houser,,48,48,2,49,False
149,2016-01-19,Used To Love You,Gwen Stefani,,44,44,4,50,False
150,2016-01-26,Hello,Adele,,1,1,13,1,False
151,2016-01-26,Sorry,Justin Bieber,,2,2,12,2,False
152,2016-01-26,Here,Alessia Cara,,3,4,16,3,False
153,2016-01-26,Same Old Love,Selena Gomez,,3,3,14,4,False
154,2016-01-26,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,,3,5,16,5,False
155,2016-01-26,Love Yourself,Justin Bieber,,6,12,5,6,False
156,2016-01-26,Stressed Out,twenty one pilots,,7,11,7,7,False
157,2016-01-26,In The Night,The Weeknd,,8,9,9,8,False
158,2016-01-26,Stitches,Shawn Mendes,,3,6,21,9,False
159,2016-01-26,Hotline Bling,Drake,,2,7,18,10,False
160,2016-01-26,Wildest Dreams,Taylor Swift,,1,10,20,11,False
161,2016-01-26,On My Mind,Ellie Goulding,,8,8,16,12,False
162,2016-01-26,Ex's & Oh's,Elle King,,5,13,22,13,False
163,2016-01-26,Roses,The Chainsmokers Featuring Rozes,,14,17,6,14,False
164,2016-01-26,When We Were Young,Adele,,15,24,4,15,False
165,2016-01-26,Die A Happy Man,Thomas Rhett,,14,14,11,16,False
166,2016-01-26,Jumpman,Drake & Future,,17,18,8,17,False
167,2016-01-26,The Hills,The Weeknd,,1,16,23,18,False
168,2016-01-26,I Love This Life,LOCASH,,19,21,10,19,False
169,2016-01-26,Antidote,Travis Scott,,15,19,10,20,False
170,2016-01-26,Stay A Little Longer,Brothers Osborne,,21,23,13,21,False
171,2016-01-26,Confident,Demi Lovato,,18,22,12,22,False
172,2016-01-26,Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,,23,26,6,23,False
173,2016-01-26,What Do You Mean?,Justin Bieber,,3,15,20,24,False
174,2016-01-26,I Got The Boy,Jana Kramer,,25,29,10,25,False
175,2016-01-26,Break Up In A Small Town,Sam Hunt,,25,25,9,26,False
176,2016-01-26,Gonna Know We Were Here,Jason Aldean,,16,20,15,27,False
177,2016-01-26,Say It,Tory Lanez,,28,28,9,28,False
178,2016-01-26,Hide Away,Daya,,29,31,6,29,False
179,2016-01-26,Locked Away,R. City Featuring Adam Levine,,2,27,25,30,False
180,2016-01-26,Perfect,One Direction,,31,32,7,31,False
181,2016-01-26,Can't Feel My Face,The Weeknd,,1,30,32,32,False
182,2016-01-26,Stand By You,Rachel Platten,,33,44,5,33,False
183,2016-01-26,Don't,Bryson Tiller,,34,41,6,34,False
184,2016-01-26,Out Of The Woods,Taylor Swift,,35,0,1,35,True
185,2016-01-26,Backroad Song,Granger Smith,,36,38,7,36,False
186,2016-01-26,Lean On,Major Lazer & DJ Snake Featuring MO,,2,36,34,37,False
187,2016-01-26,Adventure Of A Lifetime,Coldplay,,38,39,5,38,False
188,2016-01-26,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,,39,43,2,39,False
189,2016-01-26,Dibs,Kelsea Ballerini,,40,42,9,40,False
190,2016-01-26,Break On Me.,Keith Urban,,41,45,2,41,False
191,2016-01-26,Down In The DM,Yo Gotti Featuring Nicki Minaj,,42,46,3,42,False
192,2016-01-26,White Iverson,Post Malone,,24,35,12,43,False
193,2016-01-26,Gonna,Blake Shelton,,14,33,17,44,False
194,2016-01-26,Cake By The Ocean,DNCE,,45,0,1,45,True
195,2016-01-26,679,Fetty Wap Featuring Remy Boyz,,10,37,21,46,False
196,2016-01-26,No Role Modelz,J. Cole,,32,40,9,47,False
197,2016-01-26,We Went,Randy Houser,,48,49,3,48,False
198,2016-01-26,Again,Fetty Wap,,46,47,5,49,False
199,2016-01-26,My House,Flo Rida,,50,0,1,50,True
200,2016-02-02,Hello,Adele,,1,1,14,1,False
201,2016-02-02,Sorry,Justin Bieber,,2,2,13,2,False
202,2016-02-02,Here,Alessia Cara,,3,3,17,3,False
203,2016-02-02,Love Yourself,Justin Bieber,,4,6,6,4,False
204,2016-02-02,Same Old Love,Selena Gomez,,3,4,15,5,False
205,2016-02-02,Stressed Out,twenty one pilots,,6,7,8,6,False
206,2016-02-02,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,,3,5,17,7,False
207,2016-02-02,In The Night,The Weeknd,,8,8,10,8,False
208,2016-02-02,Stitches,Shawn Mendes,,3,9,22,9,False
209,2016-02-02,Hotline Bling,Drake,,2,10,19,10,False
210,2016-02-02,Wildest Dreams,Taylor Swift,,1,11,21,11,False
211,2016-02-02,On My Mind,Ellie Goulding,,8,12,17,12,False
212,2016-02-02,Roses,The Chainsmokers Featuring Rozes,,13,14,7,13,False
213,2016-02-02,Ex's & Oh's,Elle King,,5,13,23,14,False
214,2016-02-02,When We Were Young,Adele,,15,15,5,15,False
215,2016-02-02,Die A Happy Man,Thomas Rhett,,14,16,12,16,False
216,2016-02-02,Stay A Little Longer,Brothers Osborne,,17,21,14,17,False
217,2016-02-02,Jumpman,Drake & Future,,17,17,9,18,False
218,2016-02-02,The Hills,The Weeknd,,1,18,24,19,False
219,2016-02-02,Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,,20,23,7,20,False
220,2016-02-02,Antidote,Travis Scott,,15,20,11,21,False
221,2016-02-02,Break Up In A Small Town,Sam Hunt,,22,26,10,22,False
222,2016-02-02,Hide Away,Daya,,23,29,7,23,False
223,2016-02-02,Say It,Tory Lanez,,24,28,10,24,False
224,2016-02-02,I Love This Life,LOCASH,,19,19,11,25,False
225,2016-02-02,Out Of The Woods,Taylor Swift,,26,35,2,26,False
226,2016-02-02,Stand By You,Rachel Platten,,27,33,6,27,False
227,2016-02-02,Backroad Song,Granger Smith,,28,36,8,28,False
228,2016-02-02,What Do You Mean?,Justin Bieber,,3,24,21,29,False
229,2016-02-02,Confident,Demi Lovato,,18,22,13,30,False
