date,Whistle,Lights,Call Me Maybe,Wide Awake,Payphone,Somebody That I Used To Know,Titanium,Some Nights,Home,Where Have You Been,Blow Me One Last Kiss,As Long As You Love Me,Good Time,Want U Back,One More Night,Give Your Heart A Break,Everybody Talks,Scream,Let's Go,Mercy,Too Close,Pontoon,I Will Wait,We Are Young,What Makes You Beautiful,No Lie,I Won't Give Up,Starships,Pound The Alarm,Wild Ones,We Run The Night,Come Over,Angel Eyes,Wanted,"Work Hard, Play Hard",Drive By,Glad You Came,Blown Away,Kissed You Good Night,Take A Little Ride,Stronger What Doesn't Kill You,Dark Side,Heart Attack,Tongue Tied,Over,Lemme See,Cashin' Out,Drunk On You,Ho Hey,Chasing The Sun,Little Talks,Time Is Love,Don't Wake Me Up,50 Ways To Say Goodbye,Settle Down,Why Ya Wanna,Amen,She's So Mean,5 1 5 0,Boyfriend,2 Reasons,Truck Yeah,Burn It Down,One Thing,Postcard From Paris,Hard To Love,Cowboys And Angels,Bag Of Money,For You,Pop That,Both Of Us,We Are Never Ever Getting Back Together,The Fighter,The Wind,Back In Time,Take It To The Head,Adorn,Nobody's Perfect,It's Time,Snap Backs & Tattoos,Fastest Girl In Town,Thinkin Bout You,Beez In The Trap,Come Wake Me Up,The A Team,My Homies Still,Glass,That's Why I Pray,Turn On The Lights,Lovin' You Is Fun,Enough Of No Love,Neon,The One That Got Away,Wanted You More,Swimming Pools Drank,Promises,Let Me Love You Until You Learn To Love Yourself,Radioactive,Gold On The Ceiling,Oh Love,Feel So Close,Brokenhearted,New Day,Diced Pineapples,Dance Again,Crew Love,Something To Do With My Hands,Even If It Breaks Your Heart,Springsteen,Leave You Alone,Beers Ago,Runaways,New God Flow,Birthday Song,Go Get It,hyfr,Bangarang,How We Do Party,Midnight City,Part Of Me,The Motto,Get It Started,Right By My Side,UP,Drank In My Cup,Take Care,Party Rock Anthem,Climax,You Don't Know Her Like I Do,Good Girl,I Wish You Would,Fly Over States,Birthday Cake,Ayy Ladies,We Found Love,Wipe Your Eyes,Lost In The Echo,All Around The World,Windows Down,Turn Up The Music,Somethin' 'Bout A Truck,Set Fire To The Rain,Beauty And A Beat,No Hurry,Right Here,Ai Se Eu Te Pego,So Good,Rumour Has It,Faded,Sexy And I Know It,Eyes Open,Good Feeling,Get Low,Die In Your Arms,Shadow Days,Fine By Me,Same Damn Time,Banjo,Turn Me On,Better Than I Used To Be,Over You,I'm All Yours,Tonight Best You Ever Had,Drink On It,Moves Like Jagger,Around My Way Freedom Ain't Free,Undefeated,We've Got Tonight,Got My Country On,"Young, Wild & Free",Paradise,Ass Back Home,Feel Like A Rock Star,Dancin' Away With My Heart
2012-05-21,37,70,48,26,59,73,71,16,86,50,0,1,37,19,8,72,33,21,57,68,66,50,10,79,65,23,66,60,1,61,61,50,72,82,54,81,88,41,26,0,73,65,62,56,100,11,65,56,17,42,36,64,15,4,6,63,46,11,95,48,11,0,57,65,32,40,60,26,88,13,24,0,64,70,58,100,18,47,68,0,0,25,51,13,64,0,69,9,25,51,1,88,75,15,0,47,0,68,48,28,57,73,61,0,61,56,44,40,34,56,63,15,0,29,52,62,56,29,45,56,77,5,44,75,69,78,54,76,36,71,5,54,83,56,56,0,2,7,41,63,85,49,4,33,42,49,83,58,71,62,86,68,57,0,60,75,46,61,63,69,86,17,39,34,64,57,26,27,46,78,82,51,20,44
2012-05-22,37,68,51,24,59,70,76,14,85,46,0,1,39,23,5,67,47,20,63,70,57,48,5,76,68,28,84,59,4,60,47,54,58,75,18,80,73,30,66,0,36,61,65,69,77,17,76,63,28,37,48,64,15,5,9,69,50,0,61,46,14,0,41,67,28,41,64,23,92,17,26,0,52,74,54,75,19,31,72,0,0,35,64,6,59,0,67,47,31,41,1,90,68,14,0,58,0,59,62,19,60,79,59,0,72,70,26,80,34,64,48,12,0,30,40,62,67,37,39,51,76,5,38,73,82,74,57,64,45,68,8,83,91,51,55,2,2,9,44,66,74,55,1,51,55,54,76,46,69,67,81,65,54,0,75,61,51,72,57,84,84,38,20,61,65,100,15,7,85,22,84,61,20,22
2012-05-23,43,69,52,21,60,75,77,13,90,49,0,1,40,16,5,65,40,21,66,68,53,42,7,76,68,24,67,66,2,67,65,40,63,71,28,88,73,29,27,0,56,71,68,63,68,10,80,50,36,36,39,67,25,6,8,22,44,11,60,48,10,0,44,72,29,45,66,25,92,14,23,0,50,75,65,55,24,67,88,42,2,21,75,16,66,0,68,29,30,58,0,88,72,16,0,68,0,68,46,22,73,87,61,0,75,54,31,81,34,70,49,15,0,33,56,66,62,30,45,55,81,4,41,75,84,77,56,77,28,73,6,62,82,55,58,8,0,6,47,74,69,67,0,56,44,52,81,42,71,67,71,71,64,0,67,66,55,71,57,77,81,43,30,43,76,15,100,17,64,0,85,56,0,46
2012-05-24,42,70,54,19,58,74,76,14,89,64,0,1,38,22,6,68,41,22,62,67,54,46,9,77,67,21,76,68,4,70,50,44,58,71,19,83,70,27,81,2,75,75,66,54,68,17,92,46,35,44,40,67,21,5,8,22,41,6,60,48,14,0,74,70,19,39,43,24,90,17,26,0,52,71,68,58,24,48,85,0,2,15,68,10,63,0,68,19,24,32,0,89,70,22,0,54,0,72,41,24,61,55,57,0,75,62,18,75,37,90,44,14,0,28,46,69,72,17,39,54,74,6,37,73,70,69,57,63,84,74,10,58,84,54,53,8,1,6,50,59,53,55,0,26,42,49,79,49,77,67,74,67,46,1,53,56,50,76,64,68,76,100,41,35,65,44,58,21,32,35,84,44,40,34
2012-05-25,47,72,56,14,59,77,77,15,83,61,0,1,39,31,5,73,50,21,79,71,57,56,5,86,78,26,81,70,4,77,66,45,58,74,20,94,78,25,14,1,79,97,63,56,68,16,70,63,27,46,54,61,11,4,10,46,43,6,63,52,8,2,100,79,13,47,61,32,82,14,23,0,56,74,72,65,16,54,78,0,2,40,69,19,67,0,66,10,39,17,1,85,72,13,0,57,0,55,41,25,66,69,66,0,79,62,43,75,42,61,57,11,0,31,56,79,75,45,50,59,74,7,32,75,82,75,62,74,29,76,7,59,84,58,59,8,2,21,51,55,56,71,1,79,51,56,82,45,88,69,77,71,57,3,78,43,52,73,57,42,85,41,64,45,65,31,53,18,42,12,87,63,42,36
2012-05-26,55,72,64,16,77,91,86,14,86,72,0,1,38,26,7,100,60,25,74,65,59,53,4,96,97,23,74,87,4,87,72,40,67,80,23,94,93,29,34,0,70,100,59,47,61,12,98,58,28,54,43,71,33,6,10,20,43,0,86,58,11,0,97,87,27,48,41,21,81,15,26,0,78,78,87,62,22,64,71,0,0,26,78,2,67,0,61,0,32,33,0,92,81,13,0,57,0,53,64,25,73,98,65,0,88,78,28,54,51,79,42,9,0,37,50,81,79,53,56,66,77,6,37,78,77,85,71,68,58,85,10,65,79,61,71,10,4,50,54,89,54,78,0,51,41,70,83,69,79,90,94,89,76,3,55,72,65,78,74,96,83,49,50,75,93,0,59,17,60,86,92,71,0,43
2012-05-27,54,79,62,18,77,90,85,13,90,69,0,2,47,27,5,93,48,24,82,57,65,62,8,96,92,24,70,81,6,83,84,47,87,84,12,90,84,22,34,0,95,97,62,54,66,19,100,66,35,50,46,78,16,3,10,41,45,0,52,58,7,0,79,84,24,31,48,23,88,15,28,0,87,83,100,73,19,49,66,0,3,33,67,23,66,0,63,12,33,20,0,94,84,30,0,62,0,47,50,33,71,72,69,0,92,90,69,68,52,55,83,18,0,34,58,73,76,32,49,67,78,7,32,82,67,88,92,79,59,90,7,71,74,61,69,10,3,25,38,77,58,82,0,52,56,66,86,79,84,87,97,88,69,4,52,59,87,80,66,78,83,39,77,60,93,19,59,13,91,29,95,61,0,29
2012-05-28,49,68,51,13,71,75,79,11,90,56,0,1,33,22,6,72,36,19,63,59,51,65,5,76,79,20,83,63,2,68,52,38,67,73,10,94,77,17,14,0,58,95,56,48,63,11,67,61,27,47,48,61,12,9,8,45,47,6,82,50,10,0,61,75,17,33,41,30,82,19,26,0,70,78,78,48,20,13,70,0,2,43,53,10,64,0,64,0,23,44,0,83,75,14,0,47,0,51,41,25,58,82,83,0,70,67,47,76,63,59,73,14,0,30,51,71,61,35,46,48,63,6,30,75,72,78,54,70,48,70,13,65,73,73,56,3,2,16,41,71,67,72,2,43,38,52,76,47,64,59,82,70,47,7,51,45,42,77,55,61,83,59,31,31,63,31,43,18,17,0,84,49,21,0
2012-05-29,45,72,48,15,68,68,79,14,90,47,0,1,40,26,6,63,37,19,73,67,50,62,7,73,71,19,71,58,3,68,48,42,50,70,18,80,75,19,40,1,55,83,74,39,65,16,71,85,20,43,46,49,19,5,6,58,50,0,46,48,17,0,64,77,28,47,60,24,89,19,24,0,55,68,74,55,17,31,72,0,4,23,60,10,62,0,70,0,27,10,0,86,76,14,0,50,0,100,38,23,55,54,58,0,67,68,44,71,57,76,58,11,0,26,49,56,65,25,36,48,73,5,31,75,67,74,53,67,27,76,8,65,79,48,54,2,1,16,47,57,54,61,1,29,49,51,69,36,73,64,72,59,54,100,54,60,51,67,54,81,85,76,59,46,55,14,31,3,55,11,80,52,0,45
2012-05-30,49,68,48,14,68,68,74,17,85,50,0,1,40,20,6,58,47,20,66,66,51,55,6,73,69,23,83,56,4,66,67,45,59,70,18,79,68,16,0,1,45,71,70,46,64,16,61,48,34,40,47,79,18,7,8,37,46,0,76,47,11,0,58,70,28,43,70,17,89,17,25,0,56,74,63,56,20,31,68,0,0,22,57,21,59,0,71,0,28,41,1,81,71,15,0,55,0,90,26,22,52,58,52,0,64,72,35,80,44,73,68,11,0,29,53,72,56,25,44,44,69,7,28,75,77,74,51,66,36,66,5,62,80,54,59,0,3,14,48,76,60,54,0,54,48,47,77,48,64,55,72,61,65,69,37,49,58,66,62,83,77,84,88,51,55,28,48,7,46,0,79,51,0,44
2012-05-31,51,67,52,17,70,65,77,17,87,53,0,2,37,20,7,64,55,21,70,67,58,45,8,78,70,22,76,57,3,66,49,50,59,73,37,80,70,17,40,0,37,61,66,40,64,30,80,68,32,39,53,58,21,8,6,54,52,6,44,45,8,0,57,72,21,44,52,18,92,24,23,0,57,68,69,54,16,48,84,0,0,26,60,14,70,1,67,38,24,31,0,87,69,23,0,54,0,67,48,21,64,70,54,0,68,69,45,61,55,79,78,11,0,27,50,65,65,55,47,46,70,4,35,76,63,73,52,70,37,76,6,48,83,74,57,3,3,16,57,66,46,59,2,52,44,49,71,52,69,61,70,61,56,49,53,54,57,72,58,52,84,69,10,52,64,0,43,7,56,34,84,54,20,45
